Location_Name,Parent_Name,Households,Population,药材,纺织品,矿产/金属,畜产品/土特产,农产品,其他/待分类
關內道,,,,,布; 席,,毛; 羽; 革; 角,,弓; 刀
上都,關內道,,,,,,,,
京兆府,關內道,362921,1960188,酸棗仁; 地骨皮,隔紗; 粲席; 鞾氈,,蠟; 櫻桃; 藕粉,水土稻; 麥; 麰; 紫稈粟,
華州,關內道,33187,223613,伏苓; 伏神; 細辛,,,鷂; 烏鶻,,
同州,關內道,60928,408705,麝,鞾鞹二物; 皺紋吉莫,凝水石,,,芑茨; 龍莎
商州,關內道,8926,53080,麝香,,,,,弓材
鳳翔府,關內道,58486,380463,,龍鬚席,,蠟燭,榛實,
邠州,關內道,22977,125250,地膽,,剪刀; 火筯,白蜜,蓽豆; 澡豆,
隴州,關內道,24652,100148,,龍鬚席,,,榛實,
涇州,關內道,31365,186849,,龍鬚席,,,,
原州,關內道,7349,33146,,氈; 覆鞍氈; 龍鬚席,,,,
渭州,關內道,,,,,,,,
武州,關內道,,,,,,,,
寧州,關內道,37121,224837,芫青; 亭長; 菴䕡; 假蘇,五色覆鞍氈; 龍鬚席,,,,
慶州,關內道,23949,124236,麝,胡女布,,牛酥; 蠟,,
鄜州,關內道,23484,153714,,龍鬚席,,,,
坊州,關內道,22458,120208,,枲; 弦麻,,,,龍鬚席
丹州,關內道,15105,87625,麝,龍鬚席,,蠟燭,,
延州,關內道,18954,100040,麝,,,蠟,,樺皮
靈州,關內道,11456,53163,甘草; 花蓯蓉; 代赭; 白膠; 麝,氈,印鹽,紅藍; 青蟲; 鵰; 鶻; 白羽; 野馬; 鹿革; 野猪黃; 黃牛臆,,吉莫鞾; 鞹; 庫利; 赤檉; 馬策
威州,關內道,,,,,,,,
雄州,關內道,,,,,,,,
警州,關內道,,,,,,,,
會州,關內道,4594,26660,,駝毛褐; 覆鞍氈,,野馬革; 鹿舌; 鹿尾,,
鹽州,關內道,2929,16665,,,鹽山,𤕠牛,木瓜,
夏州,關內道,9213,53014,,氈,,酥,,角弓; 拒霜薺
綏州,關內道,10867,89112,,胡女布,,蠟燭,,
銀州,關內道,7602,45527,,女稽布,,,,
宥州,關內道,7083,32652,,氈,,,,
麟州,關內道,2428,10903,,,,青他鹿角,,
勝州,關內道,4187,20952,芍藥; 徐長卿,胡布,,青他鹿角,,
豐州,關內道,2813,9641,,,印鹽,野馬胯革; 駝毛褐; 氈,白麥,
單于大都護府,關內道,2155,6877,,胡女布,,野馬胯革,,
安北大都護府,關內道,2006,7498,,,,野馬胯革,,
鎮北大都護府,關內道,,,,,,犛牛尾,,
河南道,,,,,絲布; 葛,,,,席; 埏埴盎缶
東都,河南道,,,,,,,,
河南府,河南道,194746,1183092,苟𣏌; 黃精,文綾; 繒; 縠; 絲葛,,,美果華; 酸棗,埏埴盎缶
汝州,河南道,69374,273756,,絁,,,,
陝州,河南道,20958,170238,栝蔞; 柏實,,,,麰麥,
虢州,河南道,28249,88845,麝; 地骨皮,絁,,,,瓦硯; 梨
滑州,河南道,71983,422709,酸棗人,方紋綾; 紗; 絹,,,,藨席
鄭州,河南道,76694,367881,,絹; 龍莎,,,,
潁州,河南道,30707,202890,,絁; 綿,,糟白魚,,
許州,河南道,73347,487864,,絹,鐵,,柿,藨蓆
陳州,河南道,66442,402486,,絹,,,,
蔡州,河南道,80761,460205,,四窠綾; 雲花綾; 龜甲綾; 雙距綾; 溪鷘綾,,,,珉玉棋子
汴州,河南道,109876,577507,,絹,,,,
宋州,河南道,124268,897041,,絹,,,,
亳州,河南道,88960,675121,,絹,,,,
徐州,河南道,65170,478676,,雙絲綾; 絹; 綿紬; 布,刀錯; 紫石,,,
泗州,河南道,37526,205959,,錦; 貲布,,,,
濠州,河南道,21864,138361,,絁; 綿; 絲布,雲母,,,
宿州,河南道,,,,絹,,,,
鄆州,河南道,83048,501509,防風,絹,,,,
齊州,河南道,62485,365972,防風,絲; 葛; 絹; 綿,滑石; 雲母,,,
曹州,河南道,100352,716848,葶藶,絹; 綿,,,大蛇粟,
濮州,河南道,57782,400648,,絹,,犬,,
青州,河南道,73148,402704,,仙紋綾; 絲,,,棗,紅藍; 紫草
淄州,河南道,42737,233821,防風,,理石; 鐵,,,
登州,河南道,22298,108009,,貲布,,,,水葱席; 石器; 文蛤; 牛黃
萊州,河南道,26998,171516,,貲布,,,,水葱席; 石器; 文蛤; 牛黃
棣州,河南道,39150,238159,,絹,鹽,,,
兗州,河南道,87987,580608,防風,鏡花綾; 雙距綾; 絹,雲母; 紫石,,,
海州,河南道,28549,184009,,綾; 楚布,,,,紫菜
沂州,河南道,33510,195737,鍾乳,,紫石; 鐵; 銅,,,
密州,河南道,28292,146524,牛黃,貲布,鹽,,,海蛤
河東道,,,,,布,,席; 豹尾; 熊鞹; 鵰羽,,
河中府,河東道,70800,469213,龍骨,氈,,,棗; 鳳棲梨,𪌭扇
晉州,河東道,64836,429221,,,鐵,蠟燭,,
絳州,河東道,82204,517331,防風,白縠,墨,蠟燭,粱米; 梨,
慈州,河東道,11616,62486,,,鐵,白蜜; 蠟燭,,
隰州,河東道,19455,134420,,胡女布,,蜜; 蠟燭,,
北都,河東道,128905,778278,龍骨; 柏實人; 甘草; 人葠,,銅鏡; 鐵鏡; 礬石; 礜石,蒲萄酒; 煎玉粉屑,梨,馬鞌; 黃石𨥥
太原府,河東道,128905,778278,龍骨; 柏實人; 甘草; 人葠,,銅鏡; 鐵鏡; 礬石; 礜石,蒲萄酒及煎玉粉屑,梨,馬鞌; 黃石𨥥
汾州,河東道,59450,320230,石膏,鞌面氈; 龍鬚席,消石,,,
沁州,河東道,6308,34963,,龍鬚席; 弦麻,鐵,,,
遼州,河東道,9882,54580,人葰,,,蠟,,
嵐州,河東道,16748,84006,麝香,,,熊鞹,,
憲州,河東道,,,,,鐵,,,
石州,河東道,14294,66935,,胡女布; 龍鬚席,,蜜; 蠟燭,,莁荑
忻州,河東道,14806,82032,麝香,,,豹尾,,
代州,河東道,21280,100350,麝香,,,蜜; 豹尾; 白鵰羽,,青碌彩
雲州,河東道,3169,7930,,,,犛牛尾; 鵰羽,,
朔州,河東道,5493,24533,甘草,,,白鵰羽; 豹尾,,
蔚州,河東道,5052,20958,,,,熊鞹; 豹尾,松實,
武州,河東道,,,,,,,,
新州,河東道,,,,,,,,
潞州,河東道,68391,388661,人葰,貲布,銅; 鐵,石蜜,,墨
澤州,河東道,27822,157090,人葠,,石英; 銅; 錫; 鐵,野雞,,
河北道,,,,,羅; 綾; 紬; 紗,,,,鳳翮葦席
孟州,河北道,,,,,,黃魚䱹,,
懷州,河北道,55349,318126,枳殼; 牛膝,平紗; 平紬,,,茶,
魏州,河北道,151596,1109873,紫草,花紬; 綿紬; 平紬; 絁; 絹,,,,
博州,河北道,52631,408252,,綾; 平紬,,,,
相州,河北道,101142,590196,知母,紗; 絹; 隔布,胡粉; 鐵,,,鳳翮席; 花口瓢
衛州,河北道,48056,284630,,綾; 絹; 綿,,,,胡粉
貝州,河北道,100015,834757,,絹; 氈; 覆鞌氈,,,,
澶州,河北道,,,,,,鳳翮席,,角弓; 胡粉
邢州,河北道,70189,382798,,絲布,文石,,,磁器; 刀
洺州,河北道,91666,683280,,絁; 綿; 紬; 油衣,,,,
惠州,河北道,,,,紗,礠石; 錫; 鐵,,,
鎮州,河北道,54633,342134,,孔雀羅; 瓜子羅; 春羅,,,棃,
冀州,河北道,113885,830520,,絹; 綿,,,,
深州,河北道,18825,346472,,絹,,,,
趙州,河北道,63454,395238,,絹,,,,
滄州,河北道,124024,825705,,絲布,鹽,糖蟹; 鱧鮬,,柳箱; 葦簟
景州,河北道,,,,,,,,葦簟
德州,河北道,83211,659855,,絹; 綾,,,,
定州,河北道,78090,496676,,羅; 紬; 細綾; 瑞綾; 兩窠綾; 獨窠綾; 二包綾; 熟線綾,銅; 鐵,,,
易州,河北道,44230,258779,,紬; 綿,,,,墨
幽州,河北道,67243,371312,人葠,綾; 綿; 絹,,,栗,角弓
涿州,河北道,,,,,,,,
瀛州,河北道,98018,663171,,絹,,,,
莫州,河北道,53493,339972,,絹; 綿,,,,
平州,河北道,3113,25086,蔓荊實; 人葠,,,熊鞹,,
媯州,河北道,2263,11584,麝香,,,,,樺皮; 胡祿; 甲榆; 𩩉矢
檀州,河北道,6064,30246,人葠; 麝香,,,,,
薊州,河北道,5317,18521,白膠,,,,,
營州,河北道,997,3789,人葠; 麝香,,,豹尾; 皮骨𩨸,,
安東都護府,河北道,,,人葠,,,,,
山南道,,,,,絹; 布; 綿紬,金,,,絲; 紵; 漆
山南東道,山南道,,,,,,,,
江陵府,山南東道,30392,148149,梔子; 貝母; 覆盆; 烏梅; 石龍芮,方紋綾; 貲布,,白魚; 糖蟹,柑; 橙; 橘; 椑,
峽州,山南東道,8098,45606,五加; 杜若; 鬼臼,紵葛,,蠟,柑; 茶,箭竹; 芒硝
歸州,山南東道,4645,23417,,紵葛,,蜜; 蠟,茶,
夔州,山南東道,15620,75000,,紵錫布,,熊; 羆; 山雞; 蜜; 蠟,茶; 柑; 橘,
澧州,山南東道,19620,93349,犀角; 恆山; 蜀漆,紋綾; 紵綀縳巾; 竹簟,,,柑; 橘,光粉
朗州,山南東道,9306,43760,,葛; 紵綀簟,,,柑,犀角
忠州,山南東道,6722,43026,,綿紬; 蘇薰席,生金,,,文刀
涪州,山南東道,9400,44722,,獠布,麩金,蠟,,文刀
萬州,山南東道,5179,25746,藥子,,麩金,,,
襄州,山南東道,47780,252001,,綸巾,,,柑; 蔗; 芋; 薑,漆器; 庫路真二品：十乘花文、五乘碎石文
泌州,山南東道,42643,182364,,絹; 布,,,,
隋州,山南東道,23917,105722,覆盆,合羅; 綾; 葛,,,,
鄧州,山南東道,43055,165257,茅菊,絲布,,,,
均州,山南東道,9698,50809,麝香,,,山雞尾,,
